Error Type;Error Scope;(Major) Character Death Evidence;Presentation_Mode;Narrator_POV;Victim;Victim_P;Victim_TP;Victim_FP;Victim_FN;Victim_TN;Perpetrator;Perpetrator_P;Perpetrator_TP;Perpetrator_FP;Perpetrator_FN;Perpetrator_TN;Mode of Demise;Mode of Demise_P;Mode of Demise_TP;Mode of Demise_FP;Mode of Demise_FN;Mode of Demise_TN;summary_P;Classification;Reason;words
FNmin;SUM;"""The human women who had been doomed to shiver, starve, die of contagions and finally be drowned, were now considered good enough for the bed of the king of the gods.""";narrator;first;human women;;0;0;1;0;---;;0;0;0;1;illness;;0;0;1;0;The story revolves around Prometheus, who is chained and tormented by an eagle as punishment for defying Zeus. He reflects on his isolation and the abandonment by gods and humans alike, with only Heracles briefly rescuing him from the eagle. Prometheus feels his life's deeds have been a failure and contemplates his pathetic state, realizing no one needs or wants him. Hermes visits him to demand the secret of Zeus' downfall, but Prometheus taunts him by mentioning Leto, knowing Zeus has already acted on the prophecy. Enraged, Hermes slaps him and leaves. Finally alone, Prometheus finds peace in the beauty of nature and decides to surrender to eternal oblivion, free from pain and sorrow, as Hephaestus' marriage to Pronoia ensures her protection without him. The narrative does not explicitly mention any deaths but focuses on Prometheus' emotional turmoil, his decision to end his suffering, and the implied futility of his existence.;Incorrect;Errors but no TPs.;7296
MIN;SUM;"""And we suppose that Father Zeus’ advise to her not to open the jar will make her just postpone the opening until she is with her people, where the things can spread well. It is just and right that your brother will bring doom to the mortals whom you in self-will reverenced too much. They will most likely be extinct in a few years.’"" [...] ""‘No, they won’t. Their bodies have good defenses. Some will survive,’ said Prometheus. But he knew that many would die, most of them young children, and while this attack would be survived by some humans, the next one would not be."" [...] ""Especially the children, they are dying in droves.""";direct speech;third;mortals, young children;;0;0;1;0;Pandora as proxy;;0;0;1;0;illness;;0;0;1;0;The story revolves around Prometheus, who is chained and tormented by an eagle as punishment for defying Zeus. He reflects on his isolation and the abandonment by gods and humans alike, with only Heracles briefly rescuing him from the eagle. Prometheus feels his life's deeds have been a failure and contemplates his pathetic state, realizing no one needs or wants him. Hermes visits him to demand the secret of Zeus' downfall, but Prometheus taunts him by mentioning Leto, knowing Zeus has already acted on the prophecy. Enraged, Hermes slaps him and leaves. Finally alone, Prometheus finds peace in the beauty of nature and decides to surrender to eternal oblivion, free from pain and sorrow, as Hephaestus' marriage to Pronoia ensures her protection without him. The narrative does not explicitly mention any deaths but focuses on Prometheus' emotional turmoil, his decision to end his suffering, and the implied futility of his existence.;Incorrect;All three elements have FP or FN.;7296
FNmin;SUM;"""Sometimes he would wake up screaming, perhaps the dreams were not just because of those women but sometimes he could see the faces of those who were killed in the war or on the sea.""";indirect thought;third;unspecified;;0;0;0;1;unspecified;;0;0;0;1;war;;0;0;1;0;In the provided short story, Odysseus returns home to Ithaca after enduring a tumultuous journey, reuniting with his wife Penelope and son Telemachus. The narrative reveals several deaths: the servant is hanged, and the suitors are killed, presumably by Odysseus upon his return. Odysseus reflects on the horrors of war and sea, including the death of Astyanax, though he refuses to elaborate. He also recalls encountering the spirits of Ajax, Achilles, Agamemnon, and his mother in Hades, suggesting their deaths during the war. Additionally, Eurylochus did not return with Odysseus, leaving his sister Ctimene in mourning. Penelope remains a steadfast source of comfort for Odysseus, offering unwavering support despite his emotional turmoil.;Incorrect;Errors but no TPs.;581
;;"""He also felt guilty when he would see his sister. She was often crying, Ctimene was still mourning her husband, a man who had not returned with him. Eurylochus was someone of whom Odysseus didn’t get along with much but the sight of his sister crying over her late husband killed him inside perhaps he should have tried harder to stop him.""";indirect thought;third;Eurylochus;Eurylochus;1;0;0;0;unspecified;;0;0;0;1;unspecified;;0;0;0;1;In the provided short story, Odysseus returns home to Ithaca after enduring a tumultuous journey, reuniting with his wife Penelope and son Telemachus. The narrative reveals several deaths: the servant is hanged, and the suitors are killed, presumably by Odysseus upon his return. Odysseus reflects on the horrors of war and sea, including the death of Astyanax, though he refuses to elaborate. He also recalls encountering the spirits of Ajax, Achilles, Agamemnon, and his mother in Hades, suggesting their deaths during the war. Additionally, Eurylochus did not return with Odysseus, leaving his sister Ctimene in mourning. Penelope remains a steadfast source of comfort for Odysseus, offering unwavering support despite his emotional turmoil.;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;581
FNmin;SUM;"""Sometimes he would wake up screaming, perhaps the dreams were not just because of those women but sometimes he could see the faces of those who were killed in the war or on the sea.""";indirect thought;third;unspecified;;0;0;0;1;unspecified;;0;0;0;1;drowning;;0;0;1;0;In the provided short story, Odysseus returns home to Ithaca after enduring a tumultuous journey, reuniting with his wife Penelope and son Telemachus. The narrative reveals several deaths: the servant is hanged, and the suitors are killed, presumably by Odysseus upon his return. Odysseus reflects on the horrors of war and sea, including the death of Astyanax, though he refuses to elaborate. He also recalls encountering the spirits of Ajax, Achilles, Agamemnon, and his mother in Hades, suggesting their deaths during the war. Additionally, Eurylochus did not return with Odysseus, leaving his sister Ctimene in mourning. Penelope remains a steadfast source of comfort for Odysseus, offering unwavering support despite his emotional turmoil.;Incorrect;Errors but no TPs.;581
FP;KE;"""The room was still locked, the servant hanged, suitors dead, Penelope and Telemachus safe.""";narrator;third;servant;servant;1;0;0;0;Odysseus;;0;0;1;0;hanging;hanged;1;0;0;0;In the provided short story, Odysseus returns home to Ithaca after enduring a tumultuous journey, reuniting with his wife Penelope and son Telemachus. The narrative reveals several deaths: the servant is hanged, and the suitors are killed, presumably by Odysseus upon his return. Odysseus reflects on the horrors of war and sea, including the death of Astyanax, though he refuses to elaborate. He also recalls encountering the spirits of Ajax, Achilles, Agamemnon, and his mother in Hades, suggesting their deaths during the war. Additionally, Eurylochus did not return with Odysseus, leaving his sister Ctimene in mourning. Penelope remains a steadfast source of comfort for Odysseus, offering unwavering support despite his emotional turmoil.;Partially Correct;Errors in: Perpetrator (FP or FN) with at least one TP;581
;;"""The room was still locked, the servant hanged, suitors dead, Penelope and Telemachus safe.""";narrator;third;suitors;suitors;1;0;0;0;Odysseus;Odysseus;1;0;0;0;unspecified;killed;1;0;0;0;In the provided short story, Odysseus returns home to Ithaca after enduring a tumultuous journey, reuniting with his wife Penelope and son Telemachus. The narrative reveals several deaths: the servant is hanged, and the suitors are killed, presumably by Odysseus upon his return. Odysseus reflects on the horrors of war and sea, including the death of Astyanax, though he refuses to elaborate. He also recalls encountering the spirits of Ajax, Achilles, Agamemnon, and his mother in Hades, suggesting their deaths during the war. Additionally, Eurylochus did not return with Odysseus, leaving his sister Ctimene in mourning. Penelope remains a steadfast source of comfort for Odysseus, offering unwavering support despite his emotional turmoil.;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;581
FP;SUM;;;;;Astyanax;0;1;0;0;;;0;0;0;1;;;0;0;0;1;In the provided short story, Odysseus returns home to Ithaca after enduring a tumultuous journey, reuniting with his wife Penelope and son Telemachus. The narrative reveals several deaths: the servant is hanged, and the suitors are killed, presumably by Odysseus upon his return. Odysseus reflects on the horrors of war and sea, including the death of Astyanax, though he refuses to elaborate. He also recalls encountering the spirits of Ajax, Achilles, Agamemnon, and his mother in Hades, suggesting their deaths during the war. Additionally, Eurylochus did not return with Odysseus, leaving his sister Ctimene in mourning. Penelope remains a steadfast source of comfort for Odysseus, offering unwavering support despite his emotional turmoil.;Incorrect;Errors but no TPs.;581
FP;SUM;"""He remembered traveling to Hades and seeing them, Ajax, Achilles, Agamemnon, and His poor mother.""";indirect thought;third;Agamemnon;Agamemnon;1;0;0;0;unspecified;;0;0;0;1;unspecified;died in war;0;1;0;0;In the provided short story, Odysseus returns home to Ithaca after enduring a tumultuous journey, reuniting with his wife Penelope and son Telemachus. The narrative reveals several deaths: the servant is hanged, and the suitors are killed, presumably by Odysseus upon his return. Odysseus reflects on the horrors of war and sea, including the death of Astyanax, though he refuses to elaborate. He also recalls encountering the spirits of Ajax, Achilles, Agamemnon, and his mother in Hades, suggesting their deaths during the war. Additionally, Eurylochus did not return with Odysseus, leaving his sister Ctimene in mourning. Penelope remains a steadfast source of comfort for Odysseus, offering unwavering support despite his emotional turmoil.;Partially Correct;Errors in: Mode of Demise (FP or FN) with at least one TP;581
FP;SUM;"""He remembered traveling to Hades and seeing them, Ajax, Achilles, Agamemnon, and His poor mother.""";indirect thought;third;Achilles;Achilles;1;0;0;0;unspecified;;0;0;0;1;unspecified;died in war;0;1;0;0;In the provided short story, Odysseus returns home to Ithaca after enduring a tumultuous journey, reuniting with his wife Penelope and son Telemachus. The narrative reveals several deaths: the servant is hanged, and the suitors are killed, presumably by Odysseus upon his return. Odysseus reflects on the horrors of war and sea, including the death of Astyanax, though he refuses to elaborate. He also recalls encountering the spirits of Ajax, Achilles, Agamemnon, and his mother in Hades, suggesting their deaths during the war. Additionally, Eurylochus did not return with Odysseus, leaving his sister Ctimene in mourning. Penelope remains a steadfast source of comfort for Odysseus, offering unwavering support despite his emotional turmoil.;Partially Correct;Errors in: Mode of Demise (FP or FN) with at least one TP;581
FP;SUM;"""He remembered traveling to Hades and seeing them, Ajax, Achilles, Agamemnon, and His poor mother.""";indirect thought;third;Ajax;Ajax;1;0;0;0;unspecified;;0;0;0;1;unspecified;died in war;0;1;0;0;In the provided short story, Odysseus returns home to Ithaca after enduring a tumultuous journey, reuniting with his wife Penelope and son Telemachus. The narrative reveals several deaths: the servant is hanged, and the suitors are killed, presumably by Odysseus upon his return. Odysseus reflects on the horrors of war and sea, including the death of Astyanax, though he refuses to elaborate. He also recalls encountering the spirits of Ajax, Achilles, Agamemnon, and his mother in Hades, suggesting their deaths during the war. Additionally, Eurylochus did not return with Odysseus, leaving his sister Ctimene in mourning. Penelope remains a steadfast source of comfort for Odysseus, offering unwavering support despite his emotional turmoil.;Partially Correct;Errors in: Mode of Demise (FP or FN) with at least one TP;581
;;"""He remembered traveling to Hades and seeing them, Ajax, Achilles, Agamemnon, and His poor mother.""";indirect thought;third;Odysseus' mother;Odysseus's mother;1;0;0;0;unspecified;;0;0;0;1;unspecified;;0;0;0;1;In the provided short story, Odysseus returns home to Ithaca after enduring a tumultuous journey, reuniting with his wife Penelope and son Telemachus. The narrative reveals several deaths: the servant is hanged, and the suitors are killed, presumably by Odysseus upon his return. Odysseus reflects on the horrors of war and sea, including the death of Astyanax, though he refuses to elaborate. He also recalls encountering the spirits of Ajax, Achilles, Agamemnon, and his mother in Hades, suggesting their deaths during the war. Additionally, Eurylochus did not return with Odysseus, leaving his sister Ctimene in mourning. Penelope remains a steadfast source of comfort for Odysseus, offering unwavering support despite his emotional turmoil.;Correct;No errors for Victim, Perpetrator, or Mode of Demise.;581
MAJ;SUM;"""‘When we were already close to Colchis, we disembarked on the shore. One of us got lost, and we made a search party but never found him. His name was Hylas, and he was a very good friend of mine. I suppose that the poor one has fallen and died somewhere in the wilderness.’"" [...] ""‘The water nymphs have liked him and lured him,’ I chimed in. I preferred not to reveal that they had unintentionally drowned him.""";direct speech;first;Hylas;;0;0;1;0;water nymphs;;0;0;1;0;drowning;;0;0;1;0;Prometheus, chained in the Caucasus as punishment for defying Zeus, refuses to admit guilt when offered an ivy wreath by Hermes, but eventually relents after Heracles places olive branches on his head. Hephaestus and Heracles attempt to persuade Prometheus to reveal a secret name, which he finally does: Thetis. Hermes expresses disbelief but accepts the revelation, noting that Zeus had hoped to take Thetis for himself. Prometheus realizes too late that revealing Thetis's name could lead to her being forced into a mortal marriage, fulfilling an evil he had foreseen. Heracles rescues Prometheus and carries him to the cart, where Hephaestus warns him not to fall asleep. Exhausted, Prometheus faints or falls deeply asleep as they depart. The story does not mention any deaths but focuses on Prometheus's punishment, his eventual compliance, and the potential consequences of his revelation about Thetis.;Incorrect;All three elements have FP or FN.;7367
MAJ;SUM;"""I called Iolaus to help me and while I was cutting the heads, he burned their places so that they wouldn’t grow anymore. So we killed the Lernaean Hydra, except its immortal head which we couldn’t kill and I buried it deep under a crag.""";direct speech;first;Hydra;;0;0;1;0;Heracles and Iolaus;;0;0;1;0;beheading;;0;0;1;0;Prometheus, chained in the Caucasus as punishment for defying Zeus, refuses to admit guilt when offered an ivy wreath by Hermes, but eventually relents after Heracles places olive branches on his head. Hephaestus and Heracles attempt to persuade Prometheus to reveal a secret name, which he finally does: Thetis. Hermes expresses disbelief but accepts the revelation, noting that Zeus had hoped to take Thetis for himself. Prometheus realizes too late that revealing Thetis's name could lead to her being forced into a mortal marriage, fulfilling an evil he had foreseen. Heracles rescues Prometheus and carries him to the cart, where Hephaestus warns him not to fall asleep. Exhausted, Prometheus faints or falls deeply asleep as they depart. The story does not mention any deaths but focuses on Prometheus's punishment, his eventual compliance, and the potential consequences of his revelation about Thetis.;Incorrect;All three elements have FP or FN.;7367
MIN;SUM;"""But once he brought back to life a man hit by Zeus’ thunderbolt, and my father got angry. """;direct speech;first;a man;;0;0;1;0;Zeus;;0;0;1;0;struck by lightening;;0;0;1;0;Prometheus, chained in the Caucasus as punishment for defying Zeus, refuses to admit guilt when offered an ivy wreath by Hermes, but eventually relents after Heracles places olive branches on his head. Hephaestus and Heracles attempt to persuade Prometheus to reveal a secret name, which he finally does: Thetis. Hermes expresses disbelief but accepts the revelation, noting that Zeus had hoped to take Thetis for himself. Prometheus realizes too late that revealing Thetis's name could lead to her being forced into a mortal marriage, fulfilling an evil he had foreseen. Heracles rescues Prometheus and carries him to the cart, where Hephaestus warns him not to fall asleep. Exhausted, Prometheus faints or falls deeply asleep as they depart. The story does not mention any deaths but focuses on Prometheus's punishment, his eventual compliance, and the potential consequences of his revelation about Thetis.;Incorrect;All three elements have FP or FN.;7367
MIN;SUM;"""But before hope, Pandora gave diseases – because she opened the box, of course. So outbreaks afflicted the humans, and their numbers plummeted.""";direct speech;first;humans;;0;0;1;0;Pandora;;0;0;1;0;disease;;0;0;1;0;Prometheus, chained in the Caucasus as punishment for defying Zeus, refuses to admit guilt when offered an ivy wreath by Hermes, but eventually relents after Heracles places olive branches on his head. Hephaestus and Heracles attempt to persuade Prometheus to reveal a secret name, which he finally does: Thetis. Hermes expresses disbelief but accepts the revelation, noting that Zeus had hoped to take Thetis for himself. Prometheus realizes too late that revealing Thetis's name could lead to her being forced into a mortal marriage, fulfilling an evil he had foreseen. Heracles rescues Prometheus and carries him to the cart, where Hephaestus warns him not to fall asleep. Exhausted, Prometheus faints or falls deeply asleep as they depart. The story does not mention any deaths but focuses on Prometheus's punishment, his eventual compliance, and the potential consequences of his revelation about Thetis.;Incorrect;All three elements have FP or FN.;7367
FNmin;SUM;"""Besides, as I said, I have no children to support anymore. I have only Megara."" [...] ""I know it’s impossible but I still wish it. And though I suffered greatly after I killed my sons and nephews, I am glad that Theseus didn’t let me die.""";direct speech;first;Heracles' children;;0;0;1;0;unspecified;;0;0;0;1;unspecified;;0;0;0;1;Prometheus, chained in the Caucasus as punishment for defying Zeus, refuses to admit guilt when offered an ivy wreath by Hermes, but eventually relents after Heracles places olive branches on his head. Hephaestus and Heracles attempt to persuade Prometheus to reveal a secret name, which he finally does: Thetis. Hermes expresses disbelief but accepts the revelation, noting that Zeus had hoped to take Thetis for himself. Prometheus realizes too late that revealing Thetis's name could lead to her being forced into a mortal marriage, fulfilling an evil he had foreseen. Heracles rescues Prometheus and carries him to the cart, where Hephaestus warns him not to fall asleep. Exhausted, Prometheus faints or falls deeply asleep as they depart. The story does not mention any deaths but focuses on Prometheus's punishment, his eventual compliance, and the potential consequences of his revelation about Thetis.;Incorrect;Errors but no TPs.;7367
FNmaj;SUM;"""After I killed the Hydra, I immersed my arrows in its poisonous bloud. Since then, everybody pierced by these arrows dies in extreme pain. This is how I unfortunately injured my friend Chiron""";direct speech;first;unspecified;;0;0;0;1;Heracles;;0;0;1;0;being shot/poison;;0;0;1;0;Prometheus, chained in the Caucasus as punishment for defying Zeus, refuses to admit guilt when offered an ivy wreath by Hermes, but eventually relents after Heracles places olive branches on his head. Hephaestus and Heracles attempt to persuade Prometheus to reveal a secret name, which he finally does: Thetis. Hermes expresses disbelief but accepts the revelation, noting that Zeus had hoped to take Thetis for himself. Prometheus realizes too late that revealing Thetis's name could lead to her being forced into a mortal marriage, fulfilling an evil he had foreseen. Heracles rescues Prometheus and carries him to the cart, where Hephaestus warns him not to fall asleep. Exhausted, Prometheus faints or falls deeply asleep as they depart. The story does not mention any deaths but focuses on Prometheus's punishment, his eventual compliance, and the potential consequences of his revelation about Thetis.;Incorrect;Errors but no TPs.;7367
MAJ;SUM;"""He killed the man again, and then killed Asclepius with another thunderbolt.""";direct speech;first;Asclepius;;0;0;1;0;Zeus;;0;0;1;0;struck by lightening;;0;0;1;0;Prometheus, chained in the Caucasus as punishment for defying Zeus, refuses to admit guilt when offered an ivy wreath by Hermes, but eventually relents after Heracles places olive branches on his head. Hephaestus and Heracles attempt to persuade Prometheus to reveal a secret name, which he finally does: Thetis. Hermes expresses disbelief but accepts the revelation, noting that Zeus had hoped to take Thetis for himself. Prometheus realizes too late that revealing Thetis's name could lead to her being forced into a mortal marriage, fulfilling an evil he had foreseen. Heracles rescues Prometheus and carries him to the cart, where Hephaestus warns him not to fall asleep. Exhausted, Prometheus faints or falls deeply asleep as they depart. The story does not mention any deaths but focuses on Prometheus's punishment, his eventual compliance, and the potential consequences of his revelation about Thetis.;Incorrect;All three elements have FP or FN.;7367
MIN;SUM;"""Since then, I’ve been busy with these tasks. I have in fact already performed ten Labors but he dismissed two of them. He had sent me to kill a monster called Hydra. It was lurking near the city of Lerna and eating the travelers""";direct speech;first;travellers;;0;0;1;0;Hydra;;0;0;1;0;being eaten;;0;0;1;0;Prometheus, chained in the Caucasus as punishment for defying Zeus, refuses to admit guilt when offered an ivy wreath by Hermes, but eventually relents after Heracles places olive branches on his head. Hephaestus and Heracles attempt to persuade Prometheus to reveal a secret name, which he finally does: Thetis. Hermes expresses disbelief but accepts the revelation, noting that Zeus had hoped to take Thetis for himself. Prometheus realizes too late that revealing Thetis's name could lead to her being forced into a mortal marriage, fulfilling an evil he had foreseen. Heracles rescues Prometheus and carries him to the cart, where Hephaestus warns him not to fall asleep. Exhausted, Prometheus faints or falls deeply asleep as they depart. The story does not mention any deaths but focuses on Prometheus's punishment, his eventual compliance, and the potential consequences of his revelation about Thetis.;Incorrect;All three elements have FP or FN.;7367
MIN;SUM;"""As a boy, I had a tutor for some time. But I got angry at him, unwittingly hit him on the head too hard and killed him.""";direct speech;first;Heracles' tutor;;0;0;1;0;Heracles;;0;0;1;0;slaying;;0;0;1;0;Prometheus, chained in the Caucasus as punishment for defying Zeus, refuses to admit guilt when offered an ivy wreath by Hermes, but eventually relents after Heracles places olive branches on his head. Hephaestus and Heracles attempt to persuade Prometheus to reveal a secret name, which he finally does: Thetis. Hermes expresses disbelief but accepts the revelation, noting that Zeus had hoped to take Thetis for himself. Prometheus realizes too late that revealing Thetis's name could lead to her being forced into a mortal marriage, fulfilling an evil he had foreseen. Heracles rescues Prometheus and carries him to the cart, where Hephaestus warns him not to fall asleep. Exhausted, Prometheus faints or falls deeply asleep as they depart. The story does not mention any deaths but focuses on Prometheus's punishment, his eventual compliance, and the potential consequences of his revelation about Thetis.;Incorrect;All three elements have FP or FN.;7367
MIN;SUM;"""Apollo was enraged, and avenged his son by shooting the Cyclopes who had forged the thunderbolt.""";direct speech;first;a cyclops;;0;0;1;0;Apollo;;0;0;1;0;being shot;;0;0;1;0;Prometheus, chained in the Caucasus as punishment for defying Zeus, refuses to admit guilt when offered an ivy wreath by Hermes, but eventually relents after Heracles places olive branches on his head. Hephaestus and Heracles attempt to persuade Prometheus to reveal a secret name, which he finally does: Thetis. Hermes expresses disbelief but accepts the revelation, noting that Zeus had hoped to take Thetis for himself. Prometheus realizes too late that revealing Thetis's name could lead to her being forced into a mortal marriage, fulfilling an evil he had foreseen. Heracles rescues Prometheus and carries him to the cart, where Hephaestus warns him not to fall asleep. Exhausted, Prometheus faints or falls deeply asleep as they depart. The story does not mention any deaths but focuses on Prometheus's punishment, his eventual compliance, and the potential consequences of his revelation about Thetis.;Incorrect;All three elements have FP or FN.;7367
MAJ;SUM;"""Apollo found out and shot her, or sent Artemis to shoot her – I am not sure what exactly happened. Anyway, Coronis was killed, together with many poor people who just happened to be nearby…’""";direct speech;first;Coronis;;0;0;1;0;Apollo or Artemis;;0;0;1;0;being shot;;0;0;1;0;Prometheus, chained in the Caucasus as punishment for defying Zeus, refuses to admit guilt when offered an ivy wreath by Hermes, but eventually relents after Heracles places olive branches on his head. Hephaestus and Heracles attempt to persuade Prometheus to reveal a secret name, which he finally does: Thetis. Hermes expresses disbelief but accepts the revelation, noting that Zeus had hoped to take Thetis for himself. Prometheus realizes too late that revealing Thetis's name could lead to her being forced into a mortal marriage, fulfilling an evil he had foreseen. Heracles rescues Prometheus and carries him to the cart, where Hephaestus warns him not to fall asleep. Exhausted, Prometheus faints or falls deeply asleep as they depart. The story does not mention any deaths but focuses on Prometheus's punishment, his eventual compliance, and the potential consequences of his revelation about Thetis.;Incorrect;All three elements have FP or FN.;7367
FNmaj;SUM;"""I know it’s impossible but I still wish it. And though I suffered greatly after I killed my sons and nephews, I am glad that Theseus didn’t let me die.""";direct speech;first;Heracles' nephews;;0;0;1;0;Heracles;;0;0;1;0;unspecified;;0;0;0;1;Prometheus, chained in the Caucasus as punishment for defying Zeus, refuses to admit guilt when offered an ivy wreath by Hermes, but eventually relents after Heracles places olive branches on his head. Hephaestus and Heracles attempt to persuade Prometheus to reveal a secret name, which he finally does: Thetis. Hermes expresses disbelief but accepts the revelation, noting that Zeus had hoped to take Thetis for himself. Prometheus realizes too late that revealing Thetis's name could lead to her being forced into a mortal marriage, fulfilling an evil he had foreseen. Heracles rescues Prometheus and carries him to the cart, where Hephaestus warns him not to fall asleep. Exhausted, Prometheus faints or falls deeply asleep as they depart. The story does not mention any deaths but focuses on Prometheus's punishment, his eventual compliance, and the potential consequences of his revelation about Thetis.;Incorrect;Errors but no TPs.;7367
MAJ;SUM;"""After I killed the Hydra, I immersed my arrows in its poisonous bloud. Since then, everybody pierced by these arrows dies in extreme pain. This is how I unfortunately injured my friend Chiron""";direct speech;first;Chiron;;0;0;1;0;Heracles;;0;0;1;0;being shot/poison;;0;0;1;0;Prometheus, chained in the Caucasus as punishment for defying Zeus, refuses to admit guilt when offered an ivy wreath by Hermes, but eventually relents after Heracles places olive branches on his head. Hephaestus and Heracles attempt to persuade Prometheus to reveal a secret name, which he finally does: Thetis. Hermes expresses disbelief but accepts the revelation, noting that Zeus had hoped to take Thetis for himself. Prometheus realizes too late that revealing Thetis's name could lead to her being forced into a mortal marriage, fulfilling an evil he had foreseen. Heracles rescues Prometheus and carries him to the cart, where Hephaestus warns him not to fall asleep. Exhausted, Prometheus faints or falls deeply asleep as they depart. The story does not mention any deaths but focuses on Prometheus's punishment, his eventual compliance, and the potential consequences of his revelation about Thetis.;Incorrect;All three elements have FP or FN.;7367
FPFNmin;SUM;"""I saw Polydorus’ body wash up on the shore, Polyxena with her blood seeping out into the dirt, and my father dead in the same manner as his grandson.""";narrator;first;Cassandra's father;King Priam;1;0;0;0;Pyrrhus;unknown;0;1;1;0;sacrifice;killed in the same manner as his grandson;0;1;1;0;"Cassandra, a princess of Troy, recounts her tragic story, beginning with her devotion to Apollo and his subsequent curse rendering her prophecies unbelievable. She details the fall of Troy, including the deaths of key characters: Hector, dragged by Achilles' chariot; Astyanax, whose brains are dashed on the walls; Polydorus, whose body washes ashore; King Priam, killed in the same manner as his grandson; and herself, who is raped by Ajax the Lesser and later slain by Clytemnestra alongside Agamemnon. Cassandra's narrative also mentions Andromache's enslavement, Helen's return to her husband, and Polyxena's death before being taken as plunder. Ultimately, Cassandra resigns to her fate, foreseeing her own murder at Clytemnestra's hands after Agamemnon's assassination.";Partially Correct;Errors in: Perpetrator (FP or FN), Mode of Demise (FP or FN) with at least one TP;1175
FP;SUM;"""I saw Polydorus’ body wash up on the shore, Polyxena with her blood seeping out into the dirt, and my father dead in the same manner as his grandson.""";narrator;first;Polydorus;Polydorus;1;0;0;0;---;unknown;0;0;0;1;unspecified;body washes ashore;0;1;0;0;"Cassandra, a princess of Troy, recounts her tragic story, beginning with her devotion to Apollo and his subsequent curse rendering her prophecies unbelievable. She details the fall of Troy, including the deaths of key characters: Hector, dragged by Achilles' chariot; Astyanax, whose brains are dashed on the walls; Polydorus, whose body washes ashore; King Priam, killed in the same manner as his grandson; and herself, who is raped by Ajax the Lesser and later slain by Clytemnestra alongside Agamemnon. Cassandra's narrative also mentions Andromache's enslavement, Helen's return to her husband, and Polyxena's death before being taken as plunder. Ultimately, Cassandra resigns to her fate, foreseeing her own murder at Clytemnestra's hands after Agamemnon's assassination.";Partially Correct;Errors in: Mode of Demise (FP or FN) with at least one TP;1175
FP;SUM;"""I saw Polydorus’ body wash up on the shore, Polyxena with her blood seeping out into the dirt, and my father dead in the same manner as his grandson.""";narrator;first;Polyxena;Polyxena;1;0;0;0;unspecified;unknown;0;0;0;1;unspecified;dies before being taken as plunder;0;1;0;0;"Cassandra, a princess of Troy, recounts her tragic story, beginning with her devotion to Apollo and his subsequent curse rendering her prophecies unbelievable. She details the fall of Troy, including the deaths of key characters: Hector, dragged by Achilles' chariot; Astyanax, whose brains are dashed on the walls; Polydorus, whose body washes ashore; King Priam, killed in the same manner as his grandson; and herself, who is raped by Ajax the Lesser and later slain by Clytemnestra alongside Agamemnon. Cassandra's narrative also mentions Andromache's enslavement, Helen's return to her husband, and Polyxena's death before being taken as plunder. Ultimately, Cassandra resigns to her fate, foreseeing her own murder at Clytemnestra's hands after Agamemnon's assassination.";Partially Correct;Errors in: Mode of Demise (FP or FN) with at least one TP;1175
MAJ;SUM;"""I saw Polydorus’ body wash up on the shore, Polyxena with her blood seeping out into the dirt, and my father dead in the same manner as his grandson.""";narrator;first;Polites;;0;0;1;0;Pyrrhus;;0;0;1;0;sacrifice;;0;0;1;0;"Cassandra, a princess of Troy, recounts her tragic story, beginning with her devotion to Apollo and his subsequent curse rendering her prophecies unbelievable. She details the fall of Troy, including the deaths of key characters: Hector, dragged by Achilles' chariot; Astyanax, whose brains are dashed on the walls; Polydorus, whose body washes ashore; King Priam, killed in the same manner as his grandson; and herself, who is raped by Ajax the Lesser and later slain by Clytemnestra alongside Agamemnon. Cassandra's narrative also mentions Andromache's enslavement, Helen's return to her husband, and Polyxena's death before being taken as plunder. Ultimately, Cassandra resigns to her fate, foreseeing her own murder at Clytemnestra's hands after Agamemnon's assassination.";Incorrect;All three elements have FP or FN.;1175
FPFNmaj;SUM;"""When I saw Andromache holding little Astyanax in her arms with Hector smiling beside them, I saw her screaming out for her baby while Astyanax had his brains dashed out on the city walls.""";narrator;first;Astyanax;Astyanax;1;0;0;0;---;unknown;0;0;0;1;slaying;brains dashed on walls;0;1;1;0;"Cassandra, a princess of Troy, recounts her tragic story, beginning with her devotion to Apollo and his subsequent curse rendering her prophecies unbelievable. She details the fall of Troy, including the deaths of key characters: Hector, dragged by Achilles' chariot; Astyanax, whose brains are dashed on the walls; Polydorus, whose body washes ashore; King Priam, killed in the same manner as his grandson; and herself, who is raped by Ajax the Lesser and later slain by Clytemnestra alongside Agamemnon. Cassandra's narrative also mentions Andromache's enslavement, Helen's return to her husband, and Polyxena's death before being taken as plunder. Ultimately, Cassandra resigns to her fate, foreseeing her own murder at Clytemnestra's hands after Agamemnon's assassination.";Partially Correct;Errors in: Mode of Demise (FP or FN) with at least one TP;1175
